"","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","species_name","kingdom_txid","phylum_txid","class_txid","order_txid","family_txid","genus_txid","species_txid"
"s__Eubacterium_sp_CAG_38","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_sp_CAG_38","2","1239","186801","186802","186806","1730","1262889"
"s__Ruminococcus_bicirculans","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_bicirculans","2","1239","186801","186802","541000","1263","1160721"
"s__Clostridium_sp_CAG_230","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_230","2","1239","186801","186802","31979","1485","1262782"
"s__Intestinibacter_bartlettii","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__Intestinibacter","s__Intestinibacter_bartlettii","2","1239","186801","186802","186804","1505657","261299"
"s__Romboutsia_ilealis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__Romboutsia","s__Romboutsia_ilealis","2","1239","186801","186802","186804","1501226","1115758"
"s__Odoribacter_splanchnicus","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Odoribacteraceae","g__Odoribacter","s__Odoribacter_splanchnicus","2","976","200643","171549","1853231","283168","28118"
"s__Butyricimonas_virosa","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Odoribacteraceae","g__Butyricimonas","s__Butyricimonas_virosa","2","976","200643","171549","1853231","574697","544645"
"s__Clostridiales_bacterium_KLE1615","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_unclassified","g__Clostridiales_unclassified","s__Clostridiales_bacterium_KLE1615","2","1239","186801","186802","","","1715004"
"s__Actinomyces_sp_HMSC035G02","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_HMSC035G02","2","201174","1760","2037","2049","1654","1739406"
"s__Actinomyces_odontolyticus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_odontolyticus","2","201174","1760","2037","2049","1654","1660"
"s__Klebsiella_variicola","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","s__Klebsiella_variicola","2","1224","1236","91347","543","570","244366"
"s__Clostridium_sp_AM22_11AC","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_AM22_11AC","2","1239","186801","186802","31979","1485","2293024"
"s__Enterobacteria_phage_mEp460","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Enterobacteria_phage_mEp460","10239","","","28883","10699","","1147152"
"s__Rothia_mucilaginosa","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_mucilaginosa","2","201174","1760","85006","1268","32207","43675"
"s__Actinomyces_sp_oral_taxon_448","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_oral_taxon_448","2","201174","1760","2037","2049","1654","712124"
"s__Streptococcus_parasanguinis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_parasanguinis","2","1239","91061","186826","1300","1301","1318"
"s__Klebsiella_pneumoniae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","s__Klebsiella_pneumoniae","2","1224","1236","91347","543","570","573"
"s__Clostridium_sp_CAG_245","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_245","2","1239","186801","186802","31979","1485","1262784"
"s__Roseburia_inulinivorans","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__Roseburia_inulinivorans","2","1239","186801","186802","186803","841","360807"
"s__Holdemania_filiformis","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemania","s__Holdemania_filiformis","2","1239","526524","526525","128827","61170","61171"
"s__Clostridium_disporicum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_disporicum","2","1239","186801","186802","31979","1485","84024"
"s__Actinomyces_naeslundii","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_naeslundii","2","201174","1760","2037","2049","1654","1655"
"s__Eubacterium_sp_CAG_252","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_sp_CAG_252","2","1239","186801","186802","186806","1730","1262887"
"s__Actinomyces_oris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_oris","2","201174","1760","2037","2049","1654","544580"
"s__Blautia_sp","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia","s__Blautia_sp","2","1239","186801","186802","186803","572511","1955243"
"s__Sellimonas_intestinalis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Sellimonas","s__Sellimonas_intestinalis","2","1239","186801","186802","186803","1769710","1653434"
"s__Blautia_wexlerae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia","s__Blautia_wexlerae","2","1239","186801","186802","186803","572511","418240"
"s__Firmicutes_bacterium_AF16_15","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_AF16_15","2","1239","","","","","2292885"
"s__Klebsiella_quasipneumoniae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","s__Klebsiella_quasipneumoniae","2","1224","1236","91347","543","570","1463165"
"s__Ruminococcus_sp_AF31_8BH","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_sp_AF31_8BH","2","1239","186801","186802","541000","1263","2293174"
